match_id,unix_epoc_secs,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,location,competition
2599,121824000000,42,France,7,52,Romania,6,,Federation Internationale de Rugby Amateur Championship 1973
3822,121824000000,783,Yugoslavia,7,41,Italy,25,,
999,122394600000,34,England,20,38,Australia,3,England,Tour 1973
3821,122688000000,41,Italy,21,38,Australia,59,,
2044,122998500000,35,Scotland,12,40,Argentina,11,Scotland,Tour 1973
1329,127785600000,42,France,9,36,Ireland,6,France,Five Nations 1974
554,127837800000,33,Wales,6,35,Scotland,0,Wales,Five Nations 1974
1000,129047400000,35,Scotland,16,34,England,14,Scotland,Five Nations 1974
555,129049200000,36,Ireland,9,33,Wales,9,Ireland,Five Nations 1974
3820,129686400000,44,Portugal,3,41,Italy,11,Portugal,Federation Internationale de Rugby Amateur Championship 1974
1001,130257000000,34,England,21,36,Ireland,26,England,Five Nations 1974
556,130257900000,33,Wales,16,42,France,16,Wales,Five Nations 1974
1002,131414400000,42,France,12,34,England,12,France,Five Nations 1974
1330,131468400000,36,Ireland,9,35,Scotland,6,Ireland,Five Nations 1974
2740,131500800000,745,Morocco,9,52,Romania,22,,Federation Internationale de Rugby Amateur Championship 1974
9905,132105600000,42,France,54,745,Morocco,3,,
1331,132678000000,35,Scotland,19,42,France,6,Scotland,Five Nations 1974
557,132678000000,34,England,16,33,Wales,12,England,Five Nations 1974
4751,133963200000,43,Spain,22,745,Morocco,0,Spain,
8399,134524800000,721,Germany,20,44,Portugal,10,,Federation Internationale de Rugby Amateur Championship 1974
2739,135129600000,52,Romania,20,753,Poland,6,Romania,Federation Internationale de Rugby Amateur Championship 1974
9906,136339200000,745,Morocco,0,753,Poland,6,,
4750,136382400000,43,Spain,7,42,France,15,Spain,
8812,136598400000,783,Yugoslavia,8,721,Germany,20,,
3819,136944000000,41,Italy,16,721,Germany,10,,
4752,137548800000,753,Poland,0,43,Spain,4,Poland,Federation Internationale de Rugby Amateur Championship 1974
5558,137548800000,377,Sydney,10,37,New Zealand,33,,Tour 1974
2738,138153600000,52,Romania,20,43,Spain,9,,Federation Internationale de Rugby Amateur Championship 1974
1539,138672000000,38,Australia,6,37,New Zealand,11,Australia,Bledisloe Cup 1974
5141,138672000000,721,Germany,6,1211,Czechoslovakia,6,,Federation Internationale de Rugby Amateur Championship 1974
1540,139276800000,38,Australia,16,37,New Zealand,16,Australia,Bledisloe Cup 1974
5350,139276800000,254,Western Province,8,55,British & Irish Lions,17,South Africa,Tour 1974
1541,139881600000,38,Australia,6,37,New Zealand,16,Australia,Bledisloe Cup 1974
1963,139881600000,39,South Africa,3,55,British & Irish Lions,12,South Africa,Tour 1974
3493,140140800000,46,Fiji,13,37,New Zealand,14,Fiji,
3281,140918400000,40,Argentina,15,42,France,20,Argentina,Tour 1974
1964,141091200000,39,South Africa,9,55,British & Irish Lions,28,South Africa,Tour 1974
3280,141696000000,40,Argentina,27,42,France,31,Argentina,Tour 1974
1965,142960500000,39,South Africa,9,55,British & Irish Lions,26,South Africa,Tour 1974
1966,144171000000,39,South Africa,13,55,British & Irish Lions,13,South Africa,Tour 1974
2737,148521600000,1211,Czechoslovakia,15,52,Romania,18,,
2736,148694400000,1165,East Germany,0,52,Romania,49,,
5145,148694400000,1211,Czechoslovakia,56,1165,East Germany,4,,
5148,148780800000,1211,Czechoslovakia,15,753,Poland,22,,
8814,148953600000,769,Sweden,24,715,Denmark,0,,
2045,149612400000,35,Scotland,44,47,Tonga,8,Scotland,Tour 1974
2584,150854400000,52,Romania,15,42,France,10,Romania,Federation Internationale de Rugby Amateur Championship 1974
5150,150854400000,1165,East Germany,6,1211,Czechoslovakia,16,,
28630,151372800000,64,Netherlands,32,721,Germany,21,,
3647,151426800000,33,Wales,26,47,Tonga,7,Wales,Tour 1974
28631,151459200000,721,Germany,24,699,Belgium,3,,
3646,151891200000,50,Canada,14,47,Tonga,40,Canada,Tour 1974
5152,152668800000,753,Poland,4,1211,Czechoslovakia,3,,
2734,153878400000,1211,Czechoslovakia,6,52,Romania,16,,Federation Internationale de Rugby Amateur Championship 1974
4414,153878400000,49,Japan,30,725,Hong Kong,18,,Asian Championship 1974
4942,153878400000,772,Thailand,9,736,Korea,43,,Asian Championship 1974
5612,153878400000,741,Malaysia,31,1784,Laos,10,,Asian Championship 1974
5614,153878400000,766,Sri Lanka,10,760,Singapore,4,,Asian Championship 1974
4415,154051200000,49,Japan,20,736,Korea,7,,Asian Championship 1974
5026,154051200000,725,Hong Kong,6,772,Thailand,22,,Asian Championship 1974
5613,154051200000,741,Malaysia,9,760,Singapore,7,,Asian Championship 1974
5615,154051200000,766,Sri Lanka,39,1784,Laos,3,,Asian Championship 1974
4417,154224000000,49,Japan,46,772,Thailand,6,,Asian Championship 1974
4941,154224000000,736,Korea,9,725,Hong Kong,19,,Asian Championship 1974
5616,154224000000,766,Sri Lanka,12,741,Malaysia,6,,Asian Championship 1974
5617,154224000000,760,Singapore,27,1784,Laos,7,,Asian Championship 1974
1967,154396800000,42,France,4,39,South Africa,13,France,Tour 1974
4484,154396800000,766,Sri Lanka,6,49,Japan,44,,Asian Championship 1974
